Three Lines Group of Companies||Location : 104, Al Khabaisi Bldg, Al Khabaisi Area||City : Dubai,  UAE||04-2387880
Aeon Shipping LLC||Location : Warehouse 14, 10 Sana’a Road, Inland Customs Depot, Ras Al Khor 1||City : Dubai,  UAE||050-2647261
Aero Modern Shipping Services LLC||City : Dubai,  UAE||04-3968841
Afex Line Cargo LLC||Location : Near Belhasa Project, Ras Al Khor||City : Dubai,  UAE||04-3200524
AGN Freight LLC||Location : Office 205, FG5, DAFZA||City : Dubai,  UAE||04-2993407
Ahmed Saleh Packing||Location : Al Banna W/H, Bhnd Hertz Rent A Car, Al Ramool, Rashidiya||City : Dubai,  UAE||04-2854000
Air Cargo Trader LLC||Location : 2033, Cargo Agents Bldg, Dubai Cargo Village||City : Dubai,  UAE||04-2868584
Aiwa Logistics LLC||Location : 589, Elite Business Centre, Al Barsha||City : Dubai,  UAE||056-7759294
Al Ayaam Trading Establishment||Location : 2, Al Khalafi Bldg, Near Hamarain Centre, Al Muraqabat Rd||City : Dubai,  UAE||04-2690732
Al Azaan Freight Services||Location : Office 11, X2 Building, SAIF Zone||City : Sharjah,  UAE||06-5528070
Al Futtaim Logistics LLC||Location : Between 5 & 6 R/A, Jebel Ali Free Zone||City : Jebel Ali,  UAE||04-2822144
Al Humaidi International Services||Location : Opp Hyatt Regency, Near Gold Souk, Deira||City : Dubai,  UAE||04-2726870
Al Jazeerah Freight Forwarding FZE||City : Sharjah,  UAE||06-5528669
Al Khat Al Thahabi Cargo||Location : Deira||City : Dubai,  UAE||04-2366779
Al Muhallab Cargo LLC||Location : 4, Sh Hamdan Bldg, Khabisi Rd, Deira||City : Dubai,  UAE||04-2977169
Al Naboodah Cargo Centre LLC||Location : Al Masaood Tower, Airport Road, Deira||City : Dubai,  UAE||04-2504888
Al Qeyadah Cargo and Clearing LLC||Location : 212, Daira Tower, Near Baniyas Square Station, Deira||City : Dubai,  UAE||04-2343000
Al Rai Logistica UAE LLC||City : Dubai,  UAE||04-7034777
Al Robban Shipping and Freight Services LLC||Location : M 06, Al Sharaifi Centre, Zabeel Rd, Karama||City : Dubai,  UAE||04-3968444
Al Sahal Shipping and Clrg Establishment||Location : Near Russian Embassy, Khalifa St, Ziyani||City : Abu Dhabi,  UAE||02-6724133
Al Salam Express Cargo||Location : 509, Al Yousuf Centre, Hamdan St||City : Abu Dhabi,  UAE||02-6260510
Al Shamali Freight Svce Company LLC||Location : Behind GPO, Karama||City : Dubai,  UAE||04-3354504
Al Siqat Cargo LLC||Location : Office # 301, 3rd Floor, Al Maktoum Bldg, Near Naif Police Station, Deira||City : Dubai,  UAE||04-2735699
Al Thurayya Cargo Clearing and Forwarding||Location : Bhnd Emke S/Market, Madinat Zayed||City : Abu Dhabi,  UAE||02-6320650
Al Zaitoon Shipping Services LLC||Location : 302-9, UAE Enterprises Building, Garhoud||City : Dubai,  UAE||056-3003779
Alligator Shipping Co LLC||Location : Mezzanine Floor, Awaid Al Otaiba Tower, Electra St||City : Abu Dhabi,  UAE||02-6432841
Alma Cargo and Clearing LLC||Location : W/House 7, Opp Al Khail Mall, Latifa Bint Hamdan St, Al Quoz-3||City : Dubai,  UAE||04-3790945
Alta Cargo||Location : Cargo Village Dubai||City : Dubai,  UAE||04-2865525
Ami International Ltd||Location : Jebel Ali Free Zone||City : Jebel Ali,  UAE||04-8838818
Ana Cargo Management LLC||Location : Al Garhoud||City : Dubai,  UAE||04-2394757
Anjar Logistics LLC||Location : Opp Dubai Driving School, Near Belhasa Projects, Ras Al Khor||City : Dubai,  UAE||04-3202990
ANS Movers||City : Dubai,  UAE||050-8850023
Arabital Shipping LLC||Location : Opp Zadco Gas Co, Khalifa St||City : Abu Dhabi,  UAE||02-6717570
Avgo Middle East FZE||Location : SAIF Zone||City : Sharjah,  UAE||06-5489335
Ayesha Sky Logistics LLC||Location : Bur Dubai||City : Dubai,  UAE||04-3277275
Ayezan Freight Srvcs LLC||Location : Karama||City : Dubai,  UAE||04-3575444
Bab Al Shamas Cargo and Clearing LLC||Location : Office 1, Y-8, Sheikh Hamdan Colony, Karama||City : Dubai,  UAE||04-3978404
Barwil Abu Dhabi Ruwais LLC||Location : Plot No 77A Sector, Mina W/House Area||City : Abu Dhabi,  UAE||02-6733229
BBC Cargo Services||Location : 178 Amman St, Al Qusais Industrial Area 3||City : Dubai,  UAE||04-2831100
Best Cargo Clearing and Forwarding LLC||Location : Bhnd Naif Police Stn, Deira||City : Dubai,  UAE||04-2285841
Bestline Express Freight LLC||Location : Ras Al Khor||City : Dubai,  UAE||04-2586162
BH Easy Cargo LLC||Location : Bu Adil W/H# 26 Ras Al Khor, Al Aweer||City : Dubai,  UAE||04-3363290
Blue Axis Shipping and Freight LLC||Location : Al Waleed Bldg, Rolla St, Bur Dubai||City : Dubai,  UAE||04-3936668
Blue Line Shipping & Cargo (LLC)||Location : Port Saeed, Deira||City : Dubai,  UAE||04-2367555
Blueport Shipping and Inspection Services Company LLC||Location : Al Tawhidi Bldg, Next to Spinneys, Bur Dubai||City : Dubai,  UAE||04-3522533
C M G International Movers & Cargo Services LLC||City : Dubai,  UAE||04-3266397
C P L Crown Logistics LLC||Location : Cargo Village||City : Dubai,  UAE||04-2834365
C S Lines Ship Charterers||Location : Hamriya Free Zone||City : Dubai,  UAE||04-2525408
Cannata World Wide Cargo Services||Location : Umm Ramool, Rashidiya||City : Dubai,  UAE||052-3066510
Canyon Shipping And Logistics LLC||Location : 103, Silver Land Bldg, Deira||City : Dubai,  UAE||04-2385864
Caprican International Freight Solutions FZE||Location : Grand Mall, Ajman Free Zone||City : Dubai,  UAE||04-3978669
Cargo Navigations||Location : Al Qusais||City : Dubai,  UAE||04-2382462
Cargo Plan International LLC||Location : 104, UAE Enterprises Bldg, Al Garhoud||City : Dubai,  UAE||04-2868186
Cargotrans Global Forwarding LLC||Location : 5003, Emirates Bldg, Mega Terminal, Cargo Village||City : Dubai,  UAE||04-2834017
Carriers Mercantile and Marine LLC||Location : M-5, Al Shraifi Centre, Opp GPO, Karama||City : Dubai,  UAE||04-3975388
CEVA Logistics FZCO||Location : South Zone, Jebel Ali Free Zone||City : Jebel Ali,  UAE||04-8863600
Charles Kendall Freight Limited||Location : W/House D28, DAFZA||City : Dubai,  UAE||04-2996554
City Creek Shipping and Land Transport||Location : Al Aweer||City : Dubai,  UAE||04-3200233
City Moon Cargo LLC||Location : Warehouse No 12, 15th Street, Opp Zulekha Hospital, Al Qusais Ind Area 1||City : Dubai,  UAE||04-2717505
Coastline Freight Clearing Services||Location : Oasis Bldg, Opp Sabakha Bus Station, Deira||City : Dubai,  UAE||04-2294915
Comet Logistics LLC||Location : 403, Al Khaleej Centre, Bur Dubai||City : Dubai,  UAE||04-3592268
Conquest Worldwide Logistics (CWL)||Location : Dubai Investments Park||City : Jebel Ali,  UAE||04-8856233
Continental Courier Services||Location : Warehouse No. 12, Behind Bon Café, Steel Mill Road, Umm Ramool||City : Dubai,  UAE||04-2862990
Cube Freight Solutions DWC LLC||Location : Suite 3020, Act Building, Gate 5, 3rd Floor ,Dubai Air Cargo Village||City : Dubai,  UAE||04-2697569
Cyber Freight N Logistics LLC||City : Jebel Ali,  UAE||04-8830020
D G L Movers||City : Dubai,  UAE||04-3572289
Dana Freight Services LLC||Location : 1102, Al Ameeri Tower, Al Barsha, Dubai||City : Dubai,  UAE||04-2683066
Dart Global Logistics LLC||Location : 104, Al Ain Centre, Bur Dubai||City : Dubai,  UAE||04-3512166
DB Schenker LLC||Location : 705, Al Masaood Tower, Airport Rd||City : Dubai,  UAE||04-2956111
DBG Middle East Freight Services LLC||Location : Deira||City : Dubai,  UAE||04-2067107
Delta Royal Shipping and Cargo LLC||Location : Office No. 605, One Deira Bldg, Ithra, Deira||City : Dubai,  UAE||04-3336458
Destinators||Location : Tecom||City : Dubai,  UAE||04-4572860
DHE International Clearance and Forwarding||Location : Off 2, Entrance 5, 4th Flr, Belhoul Group, Al Garhoud||City : Dubai,  UAE||04-2865981
Dimension Freight Forwarding||Location : Q1-9, SAIF Zone||City : Sharjah,  UAE||06-5529586
Direct Shipping - Freight Specialist||Location : Jafza South Zone||City : Jebel Ali,  UAE||04-8860933
Dono Freight International LLC||Location : 206, Bank Melli Iran Bldg, Khalid Bin Waleed Rd, Bur Dubai||City : Dubai,  UAE||04-3596490
Door To Door Cargo Packaging||Location : 4, Aatco Warehouses, Al Quoz Indl Area 4||City : Dubai,  UAE||04-3417039
Dreamway Freight Carriers LLC||Location : Bhnd Dnata, Deira||City : Dubai,  UAE||04-2599308
DTDC Eurostar Courier and Cargo LLC||Location : Shed# 4, Marakesh Street, Um Ramool||City : Dubai,  UAE||04-2629408
Dulog LLC||Location : Near Al Maktoum Intl Airport, Dubai Industrial City||City : Dubai,  UAE||04-4430730
Dynamic Freight and Logistics FZC||Location : SAIF Zone, 144||City : Sharjah,  UAE||06-5575023
E-Freight International LLC||City : Dubai,  UAE||04-2995504
E-Logistics LLC||Location : 23A, Zomorrodah Complex, Zabeel Rd, Karama||City : Dubai,  UAE||04-3345060
Eastern Freight & Logistics FZC||Location : SAIF Zone||City : Sharjah,  UAE||06-5527598
Eastern Freight Forwarders||Location : Port Saeed, Deira||City : Dubai,  UAE||04-2692081
Easy Movers Global||Location : SAIF Zone||City : Sharjah,  UAE||056-5747262
ECU Line Middle East LLC||Location : 7th R/A, Jebel Ali Free Zone||City : Jebel Ali,  UAE||04-8817696
Elite Freight Services||Location : Al Ittihad Rd||City : Dubai,  UAE||04-2683366
Euro Star Shipping Services LLC||Location : Ras Al Khor Indl Area, Aweer||City : Dubai,  UAE||04-3338468
EV Cargo Global Forwarding LLC||Location : Office 4042, Cargo mega terminal building, Dubai Cargo Village||City : Dubai,  UAE||04-2824449
Executive Movers Worldwide LLC||Location : 121 B, Al Attar Centre, Trade Centre Rd, Karama||City : Dubai,  UAE||04-3967635
Expeditors Intl||Location : Electra St||City : Abu Dhabi,  UAE||02-6723003
Expolanka Freight LLC||Location : Dubai Airport Free Zone||City : Dubai,  UAE||04-2990111
